program_id,datetime,star,user,result,time,memory,language,problem_code,uses recursion,uses iteration
34852056,08:44 PM 28/06/20,4,crusher5371,accepted,0.00,10.5M,C++17,ECJN202,0,0
34852073,08:45 PM 28/06/20,5,akil_av17,accepted,0.05,2133M,JAVA,ECJN202,0,0
34852106,08:47 PM 28/06/20,3,hackervivek123,accepted,0.00,26M,C++14,ECJN202,true,true
34852142,08:49 PM 28/06/20,2,niteshguptaktl,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852231,08:53 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852241,08:54 PM 28/06/20,1,paras__2000,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34852340,08:59 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852354,09:00 PM 28/06/20,1,aditya029,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852374,09:01 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852388,09:02 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852415,09:03 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852430,09:04 PM 28/06/20,2,sindal_01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852449,09:05 PM 28/06/20,2,abhinash1998,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852467,09:06 PM 28/06/20,2,sindal_01,wrong answer,0.00,15.7M,C++14,ECJN202,false,true
34852514,09:09 PM 28/06/20,2,abhinash1998,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852533,09:10 PM 28/06/20,2,abhinash1998,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852541,09:10 PM 28/06/20,2,abhinash1998,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852556,09:11 PM 28/06/20,2,abhinash1998,accepted,0.00,14.9M,C++14,ECJN202,false,true
34852563,09:12 PM 28/06/20,0,rishabhsinha8,wrong answer,0.00,9.2M,C,ECJN202,0,0
34852571,09:12 PM 28/06/20,0,rishabhsinha8,wrong answer,0.00,9.2M,C,ECJN202,0,0
34852573,09:12 PM 28/06/20,4,alif_cse_ju,accepted,0.00,6M,C++17,ECJN202,0,0
34852591,09:14 PM 28/06/20,5,nuttela,accepted,0.00,15.6M,C++14,ECJN202,false,true
34852613,09:15 PM 28/06/20,1,rishu850,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34852618,09:15 PM 28/06/20,1,manisha76543,accepted,0.00,5.8M,C++17,ECJN202,0,0
34852669,09:19 PM 28/06/20,2,ishu12345,accepted,0.00,5.8M,C++17,ECJN202,0,0
34853492,10:10 PM 28/06/20,3,ac_0127,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34853517,10:11 PM 28/06/20,2,deepthansu_1,accepted,0.10,2133M,JAVA,ECJN202,0,0
34853533,10:12 PM 28/06/20,2,abtab,accepted,0.02,17.6M,PYTH 3.6,ECJN202,0,0
34853545,10:13 PM 28/06/20,1,rk9605393,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34853553,10:13 PM 28/06/20,4,tarunmishra_19,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853594,10:15 PM 28/06/20,3,ac_0127,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34853672,10:20 PM 28/06/20,3,ac_0127,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34853710,10:22 PM 28/06/20,4,sreekanth_cc,wrong answer,0.00,15.7M,C++14,ECJN202,false,true
34853790,10:26 PM 28/06/20,2,tle_tle11,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853791,10:26 PM 28/06/20,3,sarveshlohar,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34853803,10:27 PM 28/06/20,2,pavani_26,accepted,0.01,17.5M,PYTH 3.6,ECJN202,0,0
34853811,10:27 PM 28/06/20,3,paracetamol650,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853884,10:31 PM 28/06/20,2,rohan_345,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853906,10:32 PM 28/06/20,4,sreekanth_cc,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853913,10:33 PM 28/06/20,4,surajverma8787,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853949,10:34 PM 28/06/20,4,mnithinkk,accepted,0.00,15.7M,C++14,ECJN202,false,true
34853956,10:35 PM 28/06/20,4,dr_virus_,accepted,0.00,14.9M,C++14,ECJN202,false,true
34853965,10:35 PM 28/06/20,3,ac_0127,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34854022,10:39 PM 28/06/20,3,ishankr21,accepted,0.00,15.7M,C++14,ECJN202,false,true
34854102,10:44 PM 28/06/20,4,nagasaisujan16,accepted,0.00,14.9M,C++14,ECJN202,true,true
34854124,10:45 PM 28/06/20,3,faiz_b_shah24,accepted,0.11,2133M,JAVA,ECJN202,0,0
34854159,10:47 PM 28/06/20,2,saksham_33,accepted,0.01,17.5M,PYTH 3.6,ECJN202,0,0
34854205,10:50 PM 28/06/20,4,anshul_151,accepted,0.00,14.9M,C++14,ECJN202,false,true
34854242,10:52 PM 28/06/20,1,coder58anubhav,accepted,0.00,9.2M,C,ECJN202,0,0
34854267,10:54 PM 28/06/20,2,ankush19,accepted,0.11,2133M,JAVA,ECJN202,0,0
34854309,10:57 PM 28/06/20,2,naryani123,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34854329,10:59 PM 28/06/20,1,maxxy177,accepted,0.00,15.7M,C++14,ECJN202,0,0
34854343,11:00 PM 28/06/20,2,naryani123,accepted,0.00,9.2M,C,ECJN202,0,0
34854474,11:07 PM 28/06/20,2,kevin_5997,wrong answer,0.00,15.7M,C++14,ECJN202,0,0
34854493,11:08 PM 28/06/20,2,kevin_5997,accepted,0.00,15.7M,C++14,ECJN202,0,0
